1,	192
2,	192
3,	174
4,	178
5,	115
6,	126
7,	192
8,	199
9,	149
10,	106
11,	100
12,	126
13,	168
14,	139
15,	192
16,	162
17,	177
18,	172
19,	135
20,	139
21,	128
22,	106
23,	118
24,	190
25,	184
26,	107
27,	190
28,	180
29,	168
30,	111
31,	174
32,	188
33,	107
34,	138
35,	102
36,	182
37,	128
38,	118
39,	190
40,	112
41,	168
42,	128
43,	134
44,	128
45,	153
46,	117
47,	160
48,	124
49,	119
50,	105
51,	168
52,	193
53,	170
54,	163
55,	167
56,	140
57,	156
58,	134
59,	183
60,	133
61,	105
62,	195
63,	184
64,	187
65,	105
66,	135
67,	165
68,	158
69,	199
70,	154
71,	122
72,	161
73,	119
74,	153
75,	198
76,	195
77,	189
78,	136
79,	132
80,	182
